Ride_name,Park_location,Park_area,Ride_type_all,Ride_type_thrill,Ride_type_spinning,Ride_type_slow,Ride_type_small_drops,Ride_type_big_drops,Ride_type_dark,Ride_type_scary,Ride_type_water,Fast_pass,Classic,Age_interest_all,Age_interest_preschoolers,Age_interest_kids,Age_interest_tweens,Age_interest_teens,Age_interest_adults,Height_req_inches,Ride_duration_min,Open_date,Age_of_ride_days,Age_of_ride_years,Age_of_ride_total,TL_rank,TA_Stars
Alien Swirling Saucers,HS,Toy Story Land,spinning,No,Yes,No,No,No,No,No,No,Yes,No,all ages,Yes,Yes,Yes,Yes,Yes,32,1.50,6/30/18,"1,721.00",4.71,4 years 8 months 16 days,31,NA
Astro Orbiter,MK,Tomorrowland,"spinning, slow",No,Yes,Yes,No,No,No,No,No,No,Yes,all ages,Yes,Yes,Yes,Yes,Yes,0,1.50,2/25/95,"10,247.00",28.05,28 years 0 months 20 days,43,3.50
Avatar Flight of Passage,AK,Pandora,thrill,Yes,No,No,No,No,No,No,No,Yes,No,"kids, tweens, teens, adults",No,Yes,Yes,Yes,Yes,44,5,5/27/17,"2,120.00",5.80,5 years 9 months 20 days,9,5
Big Thunder Mountain Railroad,MK,Frontierland,"thirll, small drops",Yes,No,No,Yes,No,No,No,No,Yes,Yes,"kids, tweens, teens, adults",No,Yes,Yes,Yes,Yes,40,3.50,9/23/80,"15,515.00",42.48,42 years 5 months 23 days,8,4.50
Buzz Lightyear's Space Ranger Spin,MK,Tomorrowland,"spinning, slow",No,Yes,Yes,No,No,No,No,No,Yes,No,all ages,Yes,Yes,Yes,Yes,Yes,0,4,10/7/98,"8,927.00",24.44,24 years 5 months 9 days,32,4.50
Dinosaur,AK,Dinoland USA,"thrill, small drops, dark, scary",Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,"kids, tweens, teens, adults",No,Yes,Yes,Yes,Yes,40,3.25,4/22/98,"9,095.00",24.90,24 years 10 months 24 days,24,4
Dumbo the Flying Elephant,MK,Fantasyland,"spinning, slow",No,Yes,Yes,No,No,No,No,No,Yes,Yes,all ages,Yes,Yes,Yes,Yes,Yes,0,1.50,10/1/71,"18,795.00",51.46,51 years 5 months 16 days,29,4.50
Expedition Everest,AK,Asia,"thrill, big drops, dark",Yes,No,No,No,Yes,Yes,No,No,Yes,No,"kids, tweens, teens, adults",No,Yes,Yes,Yes,Yes,44,2.75,4/7/06,"6,188.00",16.94,16 years 11 months 9 days,1,5
Frozen Ever After,EC,World Showcase,"slow, small drops, dark",No,No,Yes,Yes,No,Yes,No,No,Yes,No,all ages,Yes,Yes,Yes,Yes,Yes,0,5,6/21/16,"2,460.00",6.74,6 years 8 months 25 days,27,4
Gran Fiesta Tour Starring The Three Caballeros,EC,World Showcase,slow,No,No,Yes,No,No,No,No,No,No,Yes,all ages,Yes,Yes,Yes,Yes,Yes,0,8,4/2/07,"5,828.00",15.96,15 years 11 months 15 days,47,4
Haunted Mansion,MK,Liberty Square,"slow, dark",No,No,Yes,No,No,Yes,No,No,Yes,Yes,all ages,Yes,Yes,Yes,Yes,Yes,0,7.50,10/1/71,"18,795.00",51.46,51 years 5 months 16 days,2,4.50
It's a Small World,MK,Fantasyland,slow,No,No,Yes,No,No,No,No,No,Yes,Yes,all ages,Yes,Yes,Yes,Yes,Yes,0,10.50,10/1/71,"18,795.00",51.46,51 years 5 months 16 days,16,4
Journey Into Imagination with Figment,EC,Future World,"slow, dark",No,No,Yes,No,No,Yes,No,No,Yes,No,all ages,Yes,Yes,Yes,Yes,Yes,0,11,6/1/02,"7,594.00",20.79,20 years 9 months 15 days,53,3
Jungle Cruise,MK,Adventureland,slow,No,No,Yes,No,No,No,No,No,Yes,Yes,all ages,Yes,Yes,Yes,Yes,Yes,0,9,10/1/71,"18,795.00",51.46,51 years 5 months 16 days,19,4
